iter	Logloss
0	0.6737622701
1	0.661976854
2	0.6537767189
3	0.6419732017
4	0.6288267994
5	0.6159465304
6	0.6026608421
7	0.5937127639
8	0.5861249899
9	0.5758931339
10	0.5683254098
11	0.5568888762
12	0.5459718645
13	0.5399690995
14	0.5356115471
15	0.5290485611
16	0.5207194353
17	0.5128358641
18	0.5047204622
19	0.4968479889
20	0.4906999886
21	0.4866010814
22	0.4827644172
23	0.4787126683
24	0.4742774538
25	0.4701977427
26	0.4648902652
27	0.4612729204
28	0.4528949448
29	0.4496917888
30	0.4466256579
31	0.4424599268
32	0.4392834798
33	0.4356726062
34	0.4292707444
35	0.4263675865
36	0.4236560278
37	0.4174954118
38	0.4147449419
39	0.4094207475
40	0.4071969801
41	0.4044369528
42	0.399329691
43	0.3971605984
44	0.3951443995
45	0.3908053558
46	0.3858101218
47	0.3840366485
48	0.3819393966
49	0.3796505735
50	0.3780575766
51	0.3743159363
52	0.3724237863
53	0.3706046117
54	0.3687287329
55	0.3646367702
56	0.3633252045
57	0.3618160767
58	0.3600592398
59	0.3576515808
60	0.3561260806
61	0.3545057039
62	0.3527196199
63	0.3510872313
64	0.3477623987
65	0.3461559153
66	0.3442023679
67	0.3429736533
68	0.3408336337
69	0.3388882026
70	0.3365017211
71	0.3348629531
72	0.3327151405
73	0.3312631681
74	0.3295392498
75	0.32783994
76	0.3265714876
77	0.3254155128
78	0.3245998353
79	0.3223600059
80	0.321012008
81	0.317616367
82	0.3166723095
83	0.3138921202
84	0.311462121
85	0.3104601765
86	0.3084895083
87	0.3073942439
88	0.3063822316
89	0.3055043937
90	0.3045509055
91	0.3038067817
92	0.3024243935
93	0.3016018349
94	0.3000742437
95	0.299082497
96	0.2979577076
97	0.2961509636
98	0.295281468
99	0.2943792313
100	0.2934848758
101	0.2919547752
102	0.2906254177
103	0.289651488
104	0.2882900995
105	0.2874367339
106	0.2862243877
107	0.2854303708
108	0.2847295162
109	0.2825975843
110	0.2816011129
111	0.2807991198
112	0.2800537357
113	0.2791286278
114	0.278396822
115	0.2775363469
116	0.2768261388
117	0.2760011584
118	0.2745387467
119	0.2737421967
120	0.2729421048
121	0.2711043268
122	0.2699419068
123	0.2690825703
124	0.2681560978
125	0.2674272024
126	0.265682659
127	0.2640935974
128	0.2633721351
129	0.2627543776
130	0.2621249597
131	0.2613366402
132	0.2605184793
133	0.2599505055
134	0.2589750403
135	0.2583728924
136	0.2576489144
137	0.2570561023
138	0.2560723201
139	0.2553525404
140	0.254603484
141	0.2538901838
142	0.2532088684
143	0.2527935703
144	0.2523355015
145	0.2517178343
146	0.251116899
147	0.2505555774
148	0.2499291104
149	0.2484556954
150	0.2477647207
151	0.2471627196
152	0.2462407053
153	0.2454912702
154	0.2449661663
155	0.2446050067
156	0.2436845449
157	0.2432339516
158	0.2424663519
159	0.2419249382
160	0.2413562747
161	0.2408698967
162	0.2404408453
163	0.2396624121
164	0.2392293622
165	0.2386632358
166	0.2382439605
167	0.2374436245
168	0.236519107
169	0.2359027844
170	0.2345659945
171	0.2340236989
172	0.2334946012
173	0.2326799654
174	0.2321405629
175	0.2314519308
176	0.2310889891
177	0.2297905855
178	0.2291871413
179	0.2288311994
180	0.2280731697
181	0.2276329443
182	0.227237043
183	0.2267916916
184	0.2264294296
185	0.2256027274
186	0.2251919294
187	0.2245476514
188	0.2241028365
189	0.2236082719
190	0.2232349337
191	0.2225948262
192	0.2221246645
193	0.221243869
194	0.2209737066
195	0.2204413527
196	0.2198956537
197	0.2194205181
198	0.2187625813
199	0.2184783774
200	0.2180208431
201	0.2175251056
202	0.2170864703
203	0.216620252
204	0.2162139361
205	0.2157949793
206	0.2153223395
207	0.2150396812
208	0.2137625347
209	0.2133200936
210	0.2128561099
211	0.2121382962
212	0.2116735084
213	0.2113902934
214	0.2109964558
215	0.2106628238
216	0.2103476699
217	0.2101633741
218	0.2097860383
219	0.209092347
220	0.2086215253
221	0.208352814
222	0.2078635813
223	0.2074720448
224	0.2071253424
225	0.2064882058
226	0.2061189747
227	0.2057240953
228	0.2054121875
229	0.2050991626
230	0.2046854078
231	0.2043837094
232	0.2040812368
233	0.2037044971
234	0.2033107562
235	0.202890917
236	0.2025775883
237	0.2022882226
238	0.2017423435
239	0.2013594787
240	0.2011090435
241	0.2008148964
242	0.2005404285
243	0.2000572912
244	0.1996918671
245	0.1993619144
246	0.1990161396
247	0.1985091301
248	0.1982054637
249	0.1977090935
250	0.1974189762
251	0.1971611015
252	0.1968722942
253	0.1965504305
254	0.1961296461
255	0.1958040218
256	0.1950879429
257	0.1947121044
258	0.1944449812
259	0.1942160072
260	0.1939525471
261	0.1935036043
262	0.1930929063
263	0.1928379881
264	0.1925685446
265	0.1923141815
266	0.1920164151
267	0.1914754308
268	0.191076463
269	0.1906586971
270	0.1904186104
271	0.1900924473
272	0.1897773242
273	0.1894035893
274	0.1890189316
275	0.1887605669
276	0.1883457815
277	0.1881170779
278	0.1877090695
279	0.1873664002
280	0.1869053242
281	0.1864572255
282	0.1862324951
283	0.1859243039
284	0.1853182454
285	0.1850002223
286	0.1842354623
287	0.1838259062
288	0.1834587987
289	0.182944019
290	0.1826727295
291	0.1823423618
292	0.1820069633
293	0.1817834516
294	0.181467134
295	0.1811102897
296	0.1806937416
297	0.1804710649
298	0.1802206291
299	0.1800071889
300	0.1795848663
301	0.1793040184
302	0.1789970883
303	0.1787856302
304	0.1783761698
305	0.178022844
306	0.1776959645
307	0.1774004798
308	0.1768938286
309	0.1766916358
310	0.176488431
311	0.176270929
312	0.1760284577
313	0.1756913009
314	0.1754004518
315	0.1751468135
316	0.1748854543
317	0.1744579284
318	0.1742175032
319	0.1739431889
320	0.1737249752
321	0.1732642172
322	0.1729905517
323	0.1726613771
324	0.1723970728
325	0.1721387182
326	0.1718159116
327	0.1715629213
328	0.1712236674
329	0.1709944972
330	0.1708540718
331	0.1704381578
332	0.1701211957
333	0.169957059
334	0.169624198
335	0.1693699306
336	0.1689495825
337	0.1686748966
338	0.1681998543
339	0.1678213358
340	0.1676472867
341	0.1672051615
342	0.1669922497
343	0.1666543814
344	0.1663832665
345	0.1660361
346	0.1657714921
347	0.1655140176
348	0.1653080634
349	0.1651307673
350	0.1648781193
351	0.1645614476
352	0.1643503887
353	0.1641036352
354	0.1637149933
355	0.1634465773
356	0.1632141316
357	0.1629185777
358	0.1626986405
359	0.1624501563
360	0.1620795669
361	0.1618402343
362	0.161515896
363	0.1613812938
364	0.1611605949
365	0.1607575798
366	0.1605943609
367	0.1603615399
368	0.1600990871
369	0.1598399886
370	0.1594657658
371	0.1592358353
372	0.1590333666
373	0.158789159
374	0.1584741732
375	0.1581722705
376	0.1578718635
377	0.15766818
378	0.1574071835
379	0.1571834387
380	0.1568384081
381	0.1564817798
382	0.1562754091
383	0.155779209
384	0.1553400578
385	0.1550207446
386	0.1547487612
387	0.1544411861
388	0.154126567
389	0.1537508407
390	0.1533824149
391	0.1531393719
392	0.1527958483
393	0.1525081274
394	0.1522782742
395	0.1520421241
396	0.1518017309
397	0.1512654478
398	0.1510547348
399	0.1508667883
400	0.1504754802
401	0.1502061127
402	0.1498801746
403	0.1496547091
404	0.1494784981
405	0.149282448
406	0.1490549272
407	0.1488392067
408	0.1486529507
409	0.1483807761
410	0.1481221565
411	0.1479045489
412	0.1476679179
413	0.14749
414	0.1471612718
415	0.1468655379
416	0.1465806273
417	0.1462082216
418	0.1459813085
419	0.1457338514
420	0.1454626969
421	0.1452308769
422	0.1449917226
423	0.144715486
424	0.1444427232
425	0.1441127431
426	0.1438922597
427	0.1435839443
428	0.1432800094
429	0.1429668965
430	0.1426925365
431	0.1424917849
432	0.1421983
433	0.1418617193
434	0.1415440081
435	0.1413336208
436	0.1411515943
437	0.1408881477
438	0.1405274944
439	0.1402909745
440	0.1399789085
441	0.1397990208
442	0.1396396453
443	0.1394115757
444	0.1391669163
445	0.1389037405
446	0.1386970474
447	0.1384895058
448	0.1382650042
449	0.1380204003
450	0.1377062513
451	0.1374278588
452	0.1371639068
453	0.1369382742
454	0.1367215868
455	0.1364825581
456	0.1362300161
457	0.1357787581
458	0.1356185244
459	0.1353421771
460	0.1350166518
461	0.1347583164
462	0.1345727513
463	0.1342003491
464	0.1339754237
465	0.133811653
466	0.1336416315
467	0.1333495956
468	0.1330056535
469	0.1327727837
470	0.1325609873
471	0.1323876464
472	0.1321937971
473	0.131964287
474	0.1317719256
475	0.1315154723
476	0.1313524541
477	0.1311530638
478	0.1309666132
479	0.1307367498
480	0.1304918952
481	0.1301051301
482	0.1299797809
483	0.1298068896
484	0.1296219502
485	0.1294195957
486	0.1291620821
487	0.128904703
488	0.1286948704
489	0.1282416781
490	0.1279899683
491	0.1277048633
492	0.1275291116
493	0.1273598857
494	0.1270308704
495	0.1267990258
496	0.1265005316
497	0.1262975997
498	0.1259929493
499	0.1258244421
500	0.1256164469
501	0.1254101872
502	0.1252360395
503	0.1250631353
504	0.1247329993
505	0.124564016
506	0.1243257558
507	0.1239738467
508	0.1237661804
509	0.1235642821
510	0.1233614623
511	0.1232133562
512	0.1230365592
513	0.122679343
514	0.1224369702
515	0.1222580365
516	0.1219954999
517	0.121575965
518	0.1213897678
519	0.121128072
520	0.1209221879
521	0.1207394373
522	0.1204882555
523	0.1202452095
524	0.120050818
525	0.1198130162
526	0.1195763761
527	0.1194396277
528	0.1191742989
529	0.1189896688
530	0.1188169978
531	0.1186548815
532	0.1183984874
533	0.1182353815
534	0.118015333
535	0.1178838889
536	0.1175949416
537	0.1174326275
538	0.1172694014
539	0.1171065268
540	0.1168950002
541	0.1166827169
542	0.1164094902
543	0.1161666106
544	0.1158559365
545	0.1156740092
546	0.1155015239
547	0.1153215085
548	0.1150930192
549	0.1149220092
550	0.1147190798
551	0.1145484507
552	0.1144172287
553	0.1142194256
554	0.1140755599
555	0.1138965018
556	0.1137723235
557	0.1134977669
558	0.1133191169
559	0.1131770376
560	0.1127908516
561	0.1125266119
562	0.1122344961
563	0.112093971
564	0.1118455384
565	0.1117007529
566	0.1115119123
567	0.111316997
568	0.1110570241
569	0.1109068155
570	0.1107849144
571	0.1105770779
572	0.1104617755
573	0.1102740616
574	0.1101869642
575	0.1100653372
576	0.1099423796
577	0.1097942568
578	0.1095438919
579	0.1093797897
580	0.1090970744
581	0.1089341822
582	0.1088780535
583	0.1087005051
584	0.1085055693
585	0.1082895473
586	0.1081239958
587	0.1079068777
588	0.1076585017
589	0.1074637396
590	0.1071642959
591	0.1069480392
592	0.1067778637
593	0.1065216293
594	0.1064037487
595	0.1062706541
596	0.1060484815
597	0.1058834919
598	0.1057025796
599	0.1054343716
600	0.105334172
601	0.1050774225
602	0.1048566721
603	0.1047350856
604	0.1044791924
605	0.1043362063
606	0.1041648284
607	0.1039105494
608	0.1037788055
609	0.1036338728
610	0.103464882
611	0.1032965042
612	0.1031652292
613	0.1030428526
614	0.1029474944
615	0.1027925921
616	0.1026485794
617	0.1024181302
618	0.1022170912
619	0.1020249942
620	0.1018995071
621	0.1016548436
622	0.1015254878
623	0.1013893172
624	0.1011993383
625	0.1010021043
626	0.100873233
627	0.1008281391
628	0.100699138
629	0.1004549942
630	0.1002446551
631	0.1001036913
632	0.09988005575
633	0.09978887101
634	0.09968424395
635	0.09956047095
636	0.09940606235
637	0.09917316631
638	0.09902034727
639	0.09883561549
640	0.09860085838
641	0.09838691922
642	0.098232772
643	0.09811156218
644	0.09800300713
645	0.09782318892
646	0.09768937148
647	0.09751352617
648	0.09733839471
649	0.09718095825
650	0.09698058708
651	0.0967821453
652	0.09663275978
653	0.09646309745
654	0.09627598002
655	0.09613629928
656	0.09595097718
657	0.09571416265
658	0.09557324597
659	0.09540057917
660	0.09527645242
661	0.09517085282
662	0.09507651985
663	0.09496186893
664	0.09483701915
665	0.09473254738
666	0.09450788102
667	0.09433414289
668	0.09416082169
669	0.09396298746
670	0.09375425366
671	0.09367166938
672	0.0933766671
673	0.09324933618
674	0.09321000324
675	0.09303052942
676	0.09286952056
677	0.09269714784
678	0.09260488559
679	0.09247911399
680	0.09232540921
681	0.0922842408
682	0.09205911776
683	0.09189513504
684	0.09177134369
685	0.09168150349
686	0.09162599515
687	0.09141350869
688	0.0912429668
689	0.09107945693
690	0.09102185006
691	0.09085909849
692	0.09065422192
693	0.09049347784
694	0.09037091159
695	0.09015506927
696	0.0899962136
697	0.08985162414
698	0.08966343959
699	0.08953011739
700	0.08938646499
701	0.0893488525
702	0.08916485775
703	0.08902878654
704	0.08885490097
705	0.08876167813
706	0.08867755971
707	0.08848824707
708	0.08834062996
709	0.08824454645
710	0.08811900358
711	0.0879811863
712	0.08788049143
713	0.08784448509
714	0.08778517209
715	0.08765994132
716	0.08750848748
717	0.08732660585
718	0.08721049188
719	0.08703994741
720	0.08687628584
721	0.08679747444
722	0.08669421553
723	0.08653402308
724	0.08636681338
725	0.08629134873
726	0.08619970991
727	0.08599087703
728	0.08589523865
729	0.08576468112
730	0.0856711917
731	0.08551853209
732	0.08536796755
733	0.08522161338
734	0.08508633872
735	0.08489292184
736	0.08472344444
737	0.08459978811
738	0.08451291319
739	0.08441463817
740	0.08423446105
741	0.08408345749
742	0.08402199298
743	0.08385962997
744	0.08376164934
745	0.08361899602
746	0.08357953349
747	0.08345360224
748	0.08330668166
749	0.08322560671
750	0.08313498619
751	0.08303060203
752	0.08283443442
753	0.08275050516
754	0.08261151987
755	0.08250446921
756	0.08230368437
757	0.08214145969
758	0.08201857454
759	0.08188221885
760	0.08176013635
761	0.08172926368
762	0.08159537593
763	0.08145971542
764	0.08127693263
765	0.08117928856
766	0.08103486489
767	0.08096783329
768	0.08090011574
769	0.08077784948
770	0.08064948117
771	0.08054905262
772	0.08043786873
773	0.08035581704
774	0.08021843309
775	0.08010352152
776	0.08006031606
777	0.07998230225
778	0.07988897343
779	0.07983911816
780	0.07969662756
781	0.07952466459
782	0.07938774005
783	0.0792470683
784	0.07908019491
785	0.07893244663
786	0.07883694297
787	0.07871270176
788	0.07853524032
789	0.0784564859
790	0.07829950008
791	0.07822233191
